"자치구별(1)","자치구별(2)",성별(1),2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"자치구별(1)","자치구별(2)",성별(1),합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계
"자치구별(1)","자치구별(2)",성별(1),소계,20세미만,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85세이상
"합계","양천구",계,45502,145,1435,4819,5233,3591,3111,2903,3225,3417,4412,4197,3304,2440,1896,1374
"합계","양천구",남자,20723,65,481,2184,2999,2090,1771,1640,1827,1825,1941,1596,1084,589,383,248
"합계","양천구",여자,24779,80,954,2635,2234,1501,1340,1263,1398,1592,2471,2601,2220,1851,1513,1126
"합계","강서구",계,100695,255,4867,18823,17283,9817,6981,5654,5351,5133,6771,6500,4751,3608,2765,2136
"합계","강서구",남자,45382,102,1321,7363,9142,5457,3971,3217,3139,2658,2917,2450,1603,1048,606,388
"합계","강서구",여자,55313,153,3546,11460,8141,4360,3010,2437,2212,2475,3854,4050,3148,2560,2159,1748
"합계","구로구",계,58977,211,3107,9425,8557,5001,3999,3648,3796,3699,4382,4087,3175,2547,2036,1307
"합계","구로구",남자,28817,91,954,4335,4930,3069,2400,2277,2391,2180,2118,1617,1059,675,466,255
"합계","구로구",여자,30160,120,2153,5090,3627,1932,1599,1371,1405,1519,2264,2470,2116,1872,1570,1052
"합계","금천구",계,50528,112,2651,9872,7843,4226,3095,2659,3391,3517,3968,3063,2232,1748,1363,788
"합계","금천구",남자,26892,51,870,4834,4841,2741,2053,1713,2196,2179,2182,1382,806,537,339,168
"합계","금천구",여자,23636,61,1781,5038,3002,1485,1042,946,1195,1338,1786,1681,1426,1211,1024,620
"합계","영등포구",계,73962,195,4330,15798,13937,7277,4850,3993,4145,3608,4127,3611,2795,2175,1809,1312
"합계","영등포구",남자,36400,71,1180,6987,7837,4223,2855,2387,2628,2192,2163,1603,998,607,393,276
"합계","영등포구",여자,37562,124,3150,8811,6100,3054,1995,1606,1517,1416,1964,2008,1797,1568,1416,1036
"합계","동작구",계,71782,1074,9208,16126,10946,5630,4088,3406,3246,2903,3556,3401,2827,2320,1803,1248
"합계","동작구",남자,34124,466,3750,8052,6266,3253,2373,1943,1870,1548,1507,1177,783,520,368,248
"합계","동작구",여자,37658,608,5458,8074,4680,2377,1715,1463,1376,1355,2049,2224,2044,1800,1435,1000
"합계","관악구",계,145433,987,16553,41927,26092,11867,8195,6308,6140,5222,5850,5185,3999,3261,2429,1418
"합계","관악구",남자,76265,461,6388,21467,15803,7411,5231,4176,4011,3134,2916,2195,1378,854,547,293
"합계","관악구",여자,69168,526,10165,20460,10289,4456,2964,2132,2129,2088,2934,2990,2621,2407,1882,1125
"합계","서초구",계,46745,278,2287,6924,7985,5412,4304,3387,3224,2311,2619,2524,1955,1561,1111,863
"합계","서초구",남자,20639,112,771,3009,4085,2796,2119,1698,1707,1106,1110,823,543,359,215,186
"합계","서초구",여자,26106,166,1516,3915,3900,2616,2185,1689,1517,1205,1509,1701,1412,1202,896,677
"합계","강남구",계,73579,465,3521,11277,12660,9044,7314,5242,4567,3361,3686,3781,3054,2455,1741,1411
"합계","강남구",남자,31848,250,1107,4658,6280,4406,3588,2584,2478,1644,1501,1220,882,615,375,260
"합계","강남구",여자,41731,215,2414,6619,6380,4638,3726,2658,2089,1717,2185,2561,2172,1840,1366,1151
"합계","송파구",계,82473,273,3081,13102,14249,9143,7087,5401,5149,4428,5397,5037,3784,2854,2005,1483
"합계","송파구",남자,36709,113,903,5463,7184,4666,3676,2923,2835,2240,2265,1805,1175,723,467,271
"합계","송파구",여자,45764,160,2178,7639,7065,4477,3411,2478,2314,2188,3132,3232,2609,2131,1538,1212
"합계","강동구",계,59752,145,2366,8926,7961,4904,4385,3743,4139,4079,5283,4879,3446,2439,1850,1207
"합계","강동구",남자,27614,63,705,3684,4213,2761,2399,2158,2460,2353,2431,1883,1146,687,419,252
"합계","강동구",여자,32138,82,1661,5242,3748,2143,1986,1585,1679,1726,2852,2996,2300,1752,1431,955
